Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
НІФЕДИПІН-ДАРНИЦЯ,Mono,"етилового ефіру альфа-бромізовалеріанової кислоти від 98,0 % до 100,5 %",C08C A05,"Товариство з обмеженою відповідальністю ""ФАРМХІМ""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Індустріальна, буд. 1","Товариство з обмеженою відповідальністю ""ФАРМХІМ""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Індустріальна, буд. 1",UA/12775/01/01,3,рік,"крохмаль кукурудзяний, лактоза моногiдрат, целюлоза мiкрокристалiчна, повідон, магнiю стеарат, сепіфілм 752 білий, макрогол 6000, жовтий захід FCF (E 110)",Ніфедипін,https://compendium.com.ua/dec/269517/
НІФУРОЗИД-ЗДОРОВ`Я,Omega-3-triglycerides incl. other esters and acids,"етилові ефіри Омега-3 кислот (ейкозапентаєнової кислоти етилового ефіру - не менше 300 мг/г, докозагексаєнової кислоти етилового ефіру - не менше 200 мг/г, d-?-токоферолу (вітаміну Е) - не менше 1,8 мг/г)",A07A X03,"АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ ЗАВОД""",Україна,"Україна, 04073, м. Київ, вул. Копилівська, 38",Хюатай Біофарм Інк,Китай,"Індастріал Парк, Ксіаохан Таун, Дейанг, Сихуан, П.Р. Китай Зіп. 618304, Китай",UA/11784/01/01,2,рік,"крохмаль кукурудзяний, целюлоза мікрокристалічна, сахароза, магнію стеарат",Ніфуроксазид,https://compendium.com.ua/dec/263647/
НІФУРОКСАЗИД,Ethanol,"не менше 69,3 % об./об. і не більше 70,7 % об./об. етанолу та воду",A07A X03,ФОП Книш Віталій Володимирович,Україна,"Україна, 49051, Дніпропетровська обл., місто Дніпро, Індустріальний район, вулиця Осіння, будинок 19","ПрАТ ""Біолік""",Україна,"Україна, 24321, Вінницька обл., м. Ладижин, вул. Незалежності, 131, Ш",UA/16066/01/01,5,рік,целюлоза мікрокристалічна,Ніфуроксазид,https://compendium.com.ua/dec/264629/
НІФУРОКСАЗИД АЛКАЛОЇД,Ethanol,"етанолу не менше 95,1 % і не більше 96,9 % за об’ємом та вода",A07A X03,"Товариство з обмеженою відповідальністю ""Серпантин Фарм""",Україна,"Україна, 25015, Кіровоградська обл., місто Кіровоград, Аджамський проїзд, будинок 7","Товариство з обмеженою відповідальністю ""Виробнича фармацевтична компанія ""БІО-ФАРМА ЛТД""",Україна,"Юридична адреса: Україна, 49000 м. Дніпропетровськ, вул. Набережна Перемоги, 78/171;",UA/7684/01/01,5,рік,,Ніфуроксазид,https://compendium.com.ua/dec/328637/
НІФУРОКСАЗИД РІХТЕР,Ethanol,"етанолу не менше 69,3% і не більше 70,7% за об’ємом та вода очищена",A07A X03,"Товариство з обмеженою відповідальністю ""Серпантин Фарм""",Україна,"Україна, 25015, Кіровоградська обл., місто Кіровоград, Аджамський проїзд, будинок 7","Товариство з обмеженою відповідальністю ""Виробнича фармацевтична компанія ""Біо-Фарма ЛТД""",Україна,"Україна, 51473, Дніпропетровська обл., Павлоградський р-н, с. Межиріч, вул. Молодіжна 1а",UA/10943/01/01,5,рік,"кремнію діоксид колоїдний безводний, крохмаль картопляний, желатин, тальк, магнію стеарат, гіпромеллоза, поліетиленгліколь, хинолин желтый е 104, титану діоксид (е171).,  карбомер 934, цукроза, натрію гідроксид, кислоти лимонної моногідрат, симетикон, метилпарабен, есенція бананова, вода очищена",Ніфуроксазид,https://compendium.com.ua/dec/274346/
НІЦЕРГОЛІН,Ethionamide,1 таблетка містить: етіонаміду 125 мг,C04A E02,Маклеодс Фармасьютикалс Лімітед,Індія,"Атланта Аркаде, Марол Чарч Роад, Андхері (Іст), Мумбай - 400059, Індія",Маклеодс Фармасьютикалс Лімітед,Індія,"Фаза II, Плот № 25-27, Сюрвей № 366, Прем’єр Індастріал Істейт, Качигам, Даман - 396 210, Індія",UA/18264/01/01,48,місяць,"лактоза моногідрат, магнію карбонат важкий, кислота стеаринова, крохмаль картопляний, цукор, тальк, титану діоксид (е171), повідон, кремнію діоксид колоїдний безводний, віск білий",Ніцерголін,https://compendium.com.ua/dec/270137/
НІЦЕРОМАКС,Etodolac,1 таблетка містить етодолаку 400 мг,C04A E02,Іпка Лабораторіз Лімітед,Індія,"48, Кандивлі Індастріал Естейт, Мумбай 400 067, Індія",Іпка Лабораторіз Лтд.,Індія,"П.О. Седжавта, Дістрікт Ратлам – 457002 (М.П.), Індія",UA/18038/01/01,2,рік,"лактози моногідрат, кислота винна",Ніцерголін,https://compendium.com.ua/dec/263023/
НО-Х-ША®,Polidocanol,2 мл розчину для ін’єкцій містить лауромакроголу 400 – 20 мг,A03A D02,Кеміче Фабрік Креусслер & Ко. ГмбХ,Німеччина,"Реінгауштрассе 87-93 65203 Вісбаден, Німеччина",Кеміче Фабрік Креусслер & Ко. ГмбХ,Німеччина,"Реінгауштрассе 87-93 65203 Вісбаден, Німеччина",UA/13387/01/02,3,рік,"етанол 96%, натрію метабісульфіт (Е 223), вода для ін’єкцій","Дротаверин, Дротаверину гідрохлорид",https://compendium.com.ua/dec/268191/
НО-Х-ША® ФОРТЕ,Polidocanol,2 мл розчину для ін’єкцій містить лауромакроголу 400 – 60 мг,A03A D02,Кеміче Фабрік Креусслер & Ко. ГмбХ,Німеччина,"Реінгауштрассе 87-93 65203 Вісбаден, Німеччина",Кеміче Фабрік Креусслер & Ко. ГмбХ,Німеччина,"Реінгауштрассе 87-93 65203 Вісбаден, Німеччина",UA/13387/01/03,3,рік,"лактози моногідрат, крохмаль кукурудзяний, магнію стеарат, тальк",Дротаверин,https://compendium.com.ua/dec/268190/
НО-ШПА®,Ethanol,"етол: етанол (96%), що містить при температурі 20 С не менше 95,1 % (об/об) (92,6 % (м/м)) і не більше 96,9 % (об/об) (95,2 % (м/м) С2Н6О (М.м. 46,07), а також воду",A03A D02,"Товариство з обмеженою відповідальністю ""ДОБРОДІЯ""",Україна,"Україна, 04050, м. Київ, вулиця Мельникова, будинок 12","Дочірнє підприємство ""Межиріцький вітамінний завод ""Публічного акціонерного товариства ""Укрмедпром""",Україна,"Україна, 26510, Кіровоградська обл., Голованівський район, село Межирічка, вулиця Заводська, будинок 1",UA/15684/01/01,5,рік,"натрію метабісульфіт, спирт етиловий 96%, вода для ін'єкцій.,  магнію стеарат, тальк, лактоза, крохмаль кукурудзяний, повідон.,  магнію стеарат, тальк, лактоза, крохмаль кукурудзяний, повідон",Дротаверину гідрохлорид,https://compendium.com.ua/dec/260653/
